,2017,2018,2019,2020,2021,2022,2023,2024
"UK Products of agriculture, hunting and related services",0.003006012,0.004433089,0.004682142,0.008910307,0.040326098,0.009241627,0.007160605,0.005471692
"UK Products of forestry, logging and related services",0.003006012,0.004433089,0.004682142,0.008910307,0.040326098,0.009241627,0.007160605,0.005471692
UK Fish and other fishing products; aquaculture products; support services to fishing,0.003006012,0.004433089,0.004682142,0.008910307,0.040326098,0.009241627,0.007160605,0.005471692
UK Coal and lignite,0.000601202,0.006455652,0.006266068,0.007813493,0.05193663,0.009423549,0.006708322,0.002200002
UK Crude petroleum and natural gas,0.000601202,0.006455652,0.006266068,0.007813493,0.05193663,0.009423549,0.006708322,0.002200002
UK Metal ores,0.000601202,0.006455652,0.006266068,0.007813493,0.05193663,0.009423549,0.006708322,0.002200002
UK Other mining and quarrying products,0.000601202,0.006455652,0.006266068,0.007813493,0.05193663,0.009423549,0.006708322,0.002200002
UK Mining support services,0.000601202,0.006455652,0.006266068,0.007813493,0.05193663,0.009423549,0.006708322,0.002200002
UK Preserved meat and meat products,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
"UK Processed and preserved fish, crustaceans, molluscs, fruit and vegetables",0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Vegetable and animal oils and fats,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Dairy products,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
"UK Grain mill products, starches and starch products",0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Bakery and farinaceous products,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Other food products,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Prepared animal feeds,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Alcoholic beverages,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Soft drinks,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Tobacco products,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Textiles,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Wearing apparel,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Leather and related products,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
"UK Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Paper and paper products,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Printing and recording services,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Coke and refined petroleum products,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
"UK Paints, varnishes and similar coatings, printing ink and mastics",0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
"UK Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Other chemical products,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
"UK Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15",0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Petrochemicals - 20.14/16/17/60,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
"UK Dyestuffs, agro-chemicals - 20.12/20",0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Basic pharmaceutical products and pharmaceutical preparations,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Rubber and plastic products,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
"UK Cement, lime, plaster and articles of concrete, cement and plaster",0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
"UK Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9",0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Basic iron and steel,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Other basic metals and casting,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Weapons and ammunition,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
"UK Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9",0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
"UK Computer, electronic and optical products",0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Electrical equipment,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Machinery and equipment n.e.c.,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
"UK Motor vehicles, trailers and semi-trailers",0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Ships and boats,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Air and spacecraft and related machinery,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Other transport equipment - 30.2/4/9,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Furniture,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Other manufactured goods,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Repair and maintenance of ships and boats,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Repair and maintenance of aircraft and spacecraft,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Rest of repair; Installation - 33.11-14/17/19/20,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
"UK Electricity, transmission and distribution",-0.006513026,0.002080511,0.001759762,0.010346348,0.052849267,0.009467317,0.006805734,0.000353112
UK Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,-0.006513026,0.002080511,0.001759762,0.010346348,0.052849267,0.009467317,0.006805734,0.000353112
UK Natural water; water treatment and supply services,0.003256513,0.005867923,0.006337602,0.007407582,0.000837279,0.00903434,0.0073686,0.004196577
UK Sewerage services; sewage sludge,0.003256513,0.005867923,0.006337602,0.007407582,0.000837279,0.00903434,0.0073686,0.004196577
"UK Waste collection, treatment and disposal services; materials recovery services",0.003256513,0.005867923,0.006337602,0.007407582,0.000837279,0.00903434,0.0073686,0.004196577
UK Remediation services and other waste management services,0.003256513,0.005867923,0.006337602,0.007407582,0.000837279,0.00903434,0.0073686,0.004196577
UK Buildings and building construction works,0.06245825,0.015777858,0.016395131,0.01460564,-0.040112099,0.00837416,0.013502035,0.015845832
UK Constructions and construction works for civil engineering,0.06245825,0.015777858,0.016395131,0.01460564,-0.040112099,0.00837416,0.013502035,0.015845832
UK Specialised construction works,0.06245825,0.015777858,0.016395131,0.01460564,-0.040112099,0.00837416,0.013502035,0.015845832
UK Wholesale and retail trade and repair services of motor vehicles and motorcycles,0.028390114,0.027268897,0.027757862,0.004522044,-0.166159368,0.009250544,0.010700193,-0.003126532
"UK Wholesale trade services, except of motor vehicles and motorcycles",0.028390114,0.027268897,0.027757862,0.004522044,-0.166159368,0.009250544,0.010700193,-0.003126532
"UK Retail trade services, except of motor vehicles and motorcycles",0.028390114,0.027268897,0.027757862,0.004522044,-0.166159368,0.009250544,0.010700193,-0.003126532
UK Rail transport services,0.006680027,0.008186895,0.008858707,0.009988061,0.050882819,0.009094085,0.009110429,0.013641179
"UK Land transport services and transport services via pipelines, excluding rail transport",0.006680027,0.008186895,0.008858707,0.009988061,0.050882819,0.009094085,0.009110429,0.013641179
UK Water transport services,0.006680027,0.008186895,0.008858707,0.009988061,0.050882819,0.009094085,0.009110429,0.013641179
UK Air transport services,0.006680027,0.008186895,0.008858707,0.009988061,0.050882819,0.009094085,0.009110429,0.013641179
UK Warehousing and support services for transportation,0.006680027,0.008186895,0.008858707,0.009988061,0.050882819,0.009094085,0.009110429,0.013641179
UK Postal and courier services,0.006680027,0.008186895,0.008858707,0.009988061,0.050882819,0.009094085,0.009110429,0.013641179
UK Accommodation services,0.01753507,0.013508801,0.012674674,0.027202716,0.233180307,0.00785384,0.021316222,0.04783842
UK Food and beverage serving services,0.01753507,0.013508801,0.012674674,0.027202716,0.233180307,0.00785384,0.021316222,0.04783842
UK Publishing services,0.029225117,0.019144533,0.020026101,0.004140979,-0.027568911,0.008806473,0.009354194,0.013859101
"UK Motion picture, video and TV programme production services, sound recording & music publishing",0.029225117,0.019144533,0.020026101,0.004140979,-0.027568911,0.008806473,0.009354194,0.013859101
UK Programming and broadcasting services,0.029225117,0.019144533,0.020026101,0.004140979,-0.027568911,0.008806473,0.009354194,0.013859101
UK Telecommunications services,0.029225117,0.019144533,0.020026101,0.004140979,-0.027568911,0.008806473,0.009354194,0.013859101
"UK Computer programming, consultancy and related services",0.029225117,0.019144533,0.020026101,0.004140979,-0.027568911,0.008806473,0.009354194,0.013859101
UK Information services,0.029225117,0.019144533,0.020026101,0.004140979,-0.027568911,0.008806473,0.009354194,0.013859101
"UK Financial services, except insurance and pension funding",0.003256513,0.002591164,-0.000105868,0.012727975,0.089137597,0.009383219,0.007353604,0.001294689
"UK Insurance, reinsurance and pension funding services, except compulsory social security",0.003256513,0.002591164,-0.000105868,0.012727975,0.089137597,0.009383219,0.007353604,0.001294689
UK Pension funding services,0.003256513,0.002591164,-0.000105868,0.012727975,0.089137597,0.009383219,0.007353604,0.001294689
UK Services auxiliary to financial services and insurance services,0.003256513,0.002591164,-0.000105868,0.012727975,0.089137597,0.009383219,0.007353604,0.001294689
"UK Real estate services, excluding on a fee or contract basis and imputed rent",0.020374081,0.012879605,0.012788023,0.006414784,0.034993055,0.009724336,0.006531346,0.004935351
UK Owner-Occupiers' Housing Services,0.020374081,0.012879605,0.012788023,0.006414784,0.034993055,0.009724336,0.006531346,0.004935351
UK Real estate services on a fee or contract basis,0.020374081,0.012879605,0.012788023,0.006414784,0.034993055,0.009724336,0.006531346,0.004935351
UK Legal services,0.018161323,0.015478926,0.013637789,0.00573872,-0.0339432,0.008462513,0.009499434,0.013991543
"UK Accounting, bookkeeping and auditing services; tax consulting services",0.018161323,0.015478926,0.013637789,0.00573872,-0.0339432,0.008462513,0.009499434,0.013991543
UK Services of head offices; management consulting services,0.018161323,0.015478926,0.013637789,0.00573872,-0.0339432,0.008462513,0.009499434,0.013991543
UK Architectural and engineering services; technical testing and analysis services,0.018161323,0.015478926,0.013637789,0.00573872,-0.0339432,0.008462513,0.009499434,0.013991543
UK Scientific research and development services,0.018161323,0.015478926,0.013637789,0.00573872,-0.0339432,0.008462513,0.009499434,0.013991543
UK Advertising and market research services,0.018161323,0.015478926,0.013637789,0.00573872,-0.0339432,0.008462513,0.009499434,0.013991543
"UK Other professional, scientific and technical services",0.018161323,0.015478926,0.013637789,0.00573872,-0.0339432,0.008462513,0.009499434,0.013991543
UK Veterinary services,0.018161323,0.015478926,0.013637789,0.00573872,-0.0339432,0.008462513,0.009499434,0.013991543
UK Rental and leasing services,0.014863059,0.012924326,0.012298298,0.009997239,0.06868501,0.008888995,0.01031951,0.018769824
UK Employment services,0.014863059,0.012924326,0.012298298,0.009997239,0.06868501,0.008888995,0.01031951,0.018769824
"UK Travel agency, tour operator and other reservation services and related services",0.014863059,0.012924326,0.012298298,0.009997239,0.06868501,0.008888995,0.01031951,0.018769824
UK Security and investigation services,0.014863059,0.012924326,0.012298298,0.009997239,0.06868501,0.008888995,0.01031951,0.018769824
UK Services to buildings and landscape,0.014863059,0.012924326,0.012298298,0.009997239,0.06868501,0.008888995,0.01031951,0.018769824
"UK Office administrative, office support and other business support services",0.014863059,0.012924326,0.012298298,0.009997239,0.06868501,0.008888995,0.01031951,0.018769824
UK Public administration and defence services; compulsory social security services,0.006012024,0.012570414,0.017403787,-0.00264636,-0.261794055,0.006253748,0.012030842,0.037148531
UK Education services,0.013026052,0.013253346,0.023176957,0.022956982,-0.400060045,0.0039855,0.031500819,0.055194398
UK Human health services,-0.00501002,0.006063507,0.009880254,0.011903118,-0.370488471,0.00446416,0.021695472,0.038882704
UK Residential care services,-0.00501002,0.006063507,0.009880254,0.011903118,-0.370488471,0.00446416,0.021695472,0.038882704
UK Social work services without accommodation,-0.00501002,0.006063507,0.009880254,0.011903118,-0.370488471,0.00446416,0.021695472,0.038882704
"UK Creative, arts and entertainment services",0.003757515,0.006660171,0.006875552,0.01057202,0.027572698,0.008715487,0.009828099,0.011018534
"UK Libraries, archives, museums and other cultural services",0.003757515,0.006660171,0.006875552,0.01057202,0.027572698,0.008715487,0.009828099,0.011018534
UK Gambling and betting services,0.003757515,0.006660171,0.006875552,0.01057202,0.027572698,0.008715487,0.009828099,0.011018534
UK Sports services and amusement and recreation services,0.003757515,0.006660171,0.006875552,0.01057202,0.027572698,0.008715487,0.009828099,0.011018534
UK Services furnished by membership organisations,0.012024048,0.007599674,0.007276845,0.011539128,0.125631654,0.009968816,0.007189794,0.005367168
UK Repair services of computers and personal and household goods,0.012024048,0.007599674,0.007276845,0.011539128,0.125631654,0.009968816,0.007189794,0.005367168
UK Other personal services,0.012024048,0.007599674,0.007276845,0.011539128,0.125631654,0.009968816,0.007189794,0.005367168
UK Services of households as employers of domestic personnel,-0.014028056,0.004524593,0.002889194,0.012513859,0.133288014,0.009910886,0.00737885,0.002970765
